accidents,accident_year,first_road_class,first_road_number
45801,2017,Unclassified,Road class is C or Unclassified
43762,2016,Unclassified,Road class is C or Unclassified
43355,2018,Unclassified,Road class is C or Unclassified
40459,2019,Unclassified,Road class is C or Unclassified
31709,2020,Unclassified,Road class is C or Unclassified
9372,2016,C,Road class is C or Unclassified
7981,2017,C,Road class is C or Unclassified
7005,2018,C,Road class is C or Unclassified
6067,2019,C,Road class is C or Unclassified
4815,2020,C,Road class is C or Unclassified
745,2016,A,38
729,2016,A,23
722,2016,Motorway,25
718,2016,A,4
705,2017,A,4
680,2016,A,1
672,2019,A,38
668,2017,A,23
656,2017,A,38
647,2017,A,1
640,2016,Motorway,6
637,2018,Motorway,25
635,2017,Motorway,25
627,2016,A,5
619,2018,A,4
618,2018,A,23
614,2017,A,6
612,2016,A,6
604,2018,A,1
604,2016,A,3
601,2019,A,4
597,2016,Motorway,1
596,2017,A,3
591,2016,A,40
590,2019,A,1
585,2019,A,23
581,2018,A,38
580,2017,A,5
574,2019,Motorway,25
570,2019,A,2
563,2019,A,41
563,2017,A,40
550,2019,A,40
550,2019,A,3
550,2016,A,2
546,2018,A,6
538,2017,A,10
538,2017,A,2
535,2016,A,41
531,2018,A,3
528,2017,Motorway,1
527,2018,A,2
525,2017,A,41
525,2016,A,259
524,2018,A,40
524,2017,Motorway,6
519,2020,A,23
516,2016,A,10
515,2018,Motorway,6
514,2019,A,5
510,2018,A,5
502,2016,A,13
489,2017,A,406
488,2019,A,6
486,2018,A,10
482,2018,A,259
480,2019,A,13
480,2019,A,259
479,2016,Motorway,4
477,2018,A,13
476,2016,A,34
471,2020,A,38
468,2017,A,259
461,2018,Motorway,1
456,2019,A,10
452,2017,A,13
452,2016,A,12
449,2018,A,41
447,2019,A,12
439,2019,A,406
439,2016,A,30
436,2020,A,1
432,2020,A,3
432,2019,Motorway,1
428,2020,A,2
422,2018,A,406
415,2017,A,34
413,2020,A,5
411,2020,A,41
410,2018,A,12
408,2017,A,12
408,2016,A,406
405,2017,A,30
405,2018,A,30
401,2019,A,27
400,2020,A,4
400,2017,Motorway,4
397,2020,A,6
394,2020,A,40
393,2019,Motorway,6
391,2016,A,24
391,2016,A,27
388,2020,A,259
387,2016,A,61
387,2020,A,10
382,2020,A,406
380,2019,A,11
378,2018,A,27
378,2020,Motorway,25
376,2017,A,11
376,2017,A,27
367,2019,A,30
365,2019,A,34
362,2019,Motorway,4
360,2019,A,24
360,2016,A,11
360,2020,A,13
359,2017,A,24
356,2017,A,205
355,2018,Motorway,4
353,2018,A,47
347,2016,A,47
342,2018,A,34
341,2020,A,12
337,2018,A,24
334,2018,A,11
323,2020,A,24
320,2017,A,47
319,2016,A,21
318,2016,A,20
317,2017,A,4020
315,2016,A,57
314,2016,A,404
310,2018,A,205
308,2018,A,61
306,2016,A,4020
305,2020,A,11
305,2016,A,52
301,2018,A,57
301,2020,A,205
300,2017,A,61
300,2016,A,59
300,2016,A,46
299,2017,A,46
297,2016,A,205
296,2019,A,205
294,2018,A,404
289,2017,A,57
289,2020,Motorway,1
288,2016,A,19
286,2017,A,404
285,2019,A,46
284,2019,A,404
284,2019,A,21
283,2018,A,46
280,2019,A,4020
279,2020,A,27
278,2020,A,30
277,2020,A,34
277,2018,A,4020
275,2017,A,503
274,2016,A,35
270,2017,A,21
267,2018,A,315
267,2017,A,501
265,2017,A,52
264,2019,A,52
263,2020,Motorway,6
263,2016,Motorway,5
263,2019,A,47
259,2019,A,57
259,2016,A,315
258,2018,A,217
257,2017,A,20
256,2016,A(M),1
255,2016,Motorway,62
254,2017,A,58
254,2019,A,503
251,2016,A,217
251,2018,A,52
251,2018,A,21
250,2020,A,404
247,2016,A,50
245,2018,A,20
244,2018,A,35
243,2017,A,35
242,2017,A,315
241,2016,A,503
240,2017,A,59
239,2020,A,47
238,2018,A,503
238,2018,A,59
237,2016,A,14
237,2017,A,217
236,2017,Motorway,5
235,2017,A,308
235,2017,A,118
232,2017,A,19
232,2019,A,61
232,2019,A,315
231,2019,A,20
231,2018,A(M),1
230,2020,A,4020
229,2016,A,58
229,2018,A,19
226,2017,Motorway,62
226,2019,A,217
226,2018,Motorway,62
225,2017,A,14
223,2016,A,219
223,2018,Motorway,5
221,2017,A(M),1
221,2020,A,21
220,2019,A,35
218,2016,A,56
218,2017,A,219
217,2016,A,501
217,2017,A,49
216,2019,A(M),1
216,2020,A,57
216,2018,A,49
215,2019,A,501
214,2018,A,58
213,2019,A,105
210,2016,A,124
210,2016,A,105
210,2017,A,124
210,2016,A,308
210,2019,A,19
210,2016,A,60
209,2017,A,105
209,2017,A,56
208,2018,A,124
208,2018,A,56
208,2018,A,118
208,2020,A,20
207,2018,A,308
206,2018,A,215
206,2017,A,215
204,2016,A,312
203,2017,A,112
203,2019,A,59
203,2018,A,501
202,2018,A,50
201,2018,A,219
201,2019,A,124
200,2020,A,219
200,2019,A,219
199,2020,A,61
199,2019,A,56
198,2018,A,14
198,2018,A,105
196,2019,A,118
196,2016,A,420
196,2019,A,308
196,2016,A,39
195,2017,A,202
195,2016,A,215
195,2020,A,46
194,2018,A,202
194,2016,A,49
193,2019,A,215
193,2016,A,104
193,2020,A,503
192,2016,A,361
192,2020,A,105
191,2019,Motorway,5
190,2019,A,58
190,2019,A,107
189,2017,A,39
188,2016,Motorway,3
188,2017,A,50
187,2017,A,60
187,2018,A,112
186,2019,A,206
185,2019,A,312
185,2020,A,308
185,2016,A,118
184,2017,A,104
182,2019,Motorway,62
182,2017,A,206
182,2020,A,35
182,2017,A,312
181,2016,A,31
181,2019,A,202
180,2016,Motorway,40
180,2017,A,361
180,2016,A,15
179,2016,A,202
179,2019,A,39
178,2020,A,217
178,2020,Motorway,4
178,2018,A,206
178,2017,A,107
177,2018,A,60
176,2017,A,15
176,2018,A,4040
176,2018,A,39
176,2016,A,48
174,2017,A,4040
174,2018,A,15
173,2019,A,14
173,2019,A,4040
173,2019,A,112
172,2017,A,329
171,2016,A,112
170,2020,A,315
169,2018,A,361
169,2016,A,638
169,2018,A,104
168,2018,A,312
168,2019,A,49
166,2016,A,8
166,2019,A,15
165,2017,A,1010
165,2016,A,167
164,2016,Motorway,8
164,2016,Motorway,20
164,2019,A,1010
163,2020,A,112
163,2019,A,420
163,2016,A,483
163,2018,A,420
161,2020,A,124
160,2016,A,4040
160,2016,A,107
160,2018,Motorway,3
159,2016,A,449
159,2019,A,45
158,2020,A,52
157,2018,A,107
157,2018,A,638
157,2016,A,45
156,2020,A,118
155,2017,Motorway,40
155,2017,Motorway,3
154,2016,A,414
154,2016,A,470
154,2016,A,206
153,2020,A,206
153,2017,A,45
153,2016,A,329
152,2018,A,45
152,2016,A,25
152,2016,Motorway,27
151,2019,A,48
151,2016,A,28
150,2019,A,361
150,2017,Motorway,8
150,2019,A,60
148,2020,A,107
148,2020,A,312
148,2017,A,470
147,2016,A,505
147,2017,A,31
147,2020,A,59
146,2017,A,222
146,2016,A,1010
146,2019,A,104
146,2019,A,28
146,2017,A,62
145,2019,A,505
145,2016,Motorway,11
145,2017,A,483
144,2020,A,1010
144,2020,A,104
144,2016,A,26
144,2017,A,420
144,2017,A,428
142,2019,Motorway,3
142,2018,A,48
142,2017,A,8
142,2016,A,82
142,2016,A,630
141,2018,A,201
141,2017,Motorway,20
141,2017,A,232
140,2016,A,3220
140,2016,A,22
140,2020,A,505
140,2016,A,65
139,2020,A,501
139,2016,A,629
139,2020,A,215
138,2018,A,31
138,2018,A,3220
138,2016,A,400
138,2016,A,428
138,2017,A,201
137,2016,A,64
137,2018,Motorway,40
137,2020,A,58
136,2018,A,1010
136,2018,A,62
136,2017,A,48
135,2016,A,229
135,2016,A,1000
135,2016,A,127
134,2018,A,400
133,2017,A,638
133,2019,Motorway,11
132,2019,A,400
132,2017,A,449
131,2020,A,202
131,2019,A,232
131,2016,A,201
131,2016,A,303
130,2016,A,165
130,2018,A,232
130,2020,A,361
130,2018,Motorway,20
130,2017,A,3036
130,2019,A,167
129,2017,Motorway,11
129,2018,A,9
129,2016,A,90
129,2018,A,123
128,2020,A(M),1
128,2017,A,414
128,2018,A,28
128,2016,A,9
128,2019,Motorway,8
127,2016,A,212
127,2018,Motorway,11
127,2019,A,50
127,2016,A,66
127,2017,A,3220
127,2020,A,56
127,2019,Motorway,60
127,2016,A,650
126,2019,A,229
126,2018,Motorway,8
126,2019,A,25
126,2019,Motorway,40
125,2019,A,329
125,2017,A,400
124,2017,A,167
124,2017,A,22
124,2017,A,9
124,2018,A,1079
123,2017,A,505
123,2020,A,39
123,2017,A,214
123,2019,A,31
123,2017,Motorway,27
123,2020,A,19
123,2018,A,428
122,2016,A,16
122,2017,A,212
122,2020,A,4040
122,2018,A,483
122,2018,A,3036
122,2016,A,36
122,2018,A,505
121,2019,A,26
121,2018,A,22
121,2018,A,82
121,2020,Motorway,5
121,2016,A,214
120,2020,A,48
120,2016,A,3036
120,2018,A,329
119,2019,A,428
119,2019,A,3220
119,2018,A,8
118,2017,A,1000
117,2016,A,272
117,2017,A,82
117,2016,A,1079
117,2019,A,449
117,2019,A,8
117,2016,A,62
117,2016,A,232
116,2016,A,487
116,2016,A,402
116,2016,A,607
116,2018,A,66
116,2018,A,470
116,2019,A,9
116,2020,A,49
116,2016,B,4114
115,2017,A,629
115,2018,A,214
115,2019,A,16
115,2017,A,90
115,2020,A,420
115,2019,A,414
115,2019,A,303
114,2019,A,212
114,2019,A,22
113,2017,Motorway,60
113,2017,A,165
113,2016,A,44
113,2020,A,212
113,2019,A,62
113,2020,A,232
113,2016,A,77
112,2020,A,28
112,2018,A,414
112,2016,A,134
112,2018,A,16
112,2019,A,402
112,2019,A,470
112,2020,A,14
112,2016,A,222
112,2018,A,200
111,2019,A,629
111,2019,A,638
111,2019,A,214
111,2017,A,1079
111,2016,A,33
111,2019,A,200
111,2019,Motorway,20
111,2019,A,483
111,2017,A,25
111,2018,A,449
111,2020,A,214
111,2016,A,18
110,2017,A,504
110,2016,A,244
110,2016,A,504
110,2020,A,3036
110,2020,A,45
110,2017,A,65
109,2016,A,140
109,2020,A,222
109,2020,A,3220
109,2016,A,350
108,2019,A,1000
108,2017,A,421
108,2016,A,421
108,2020,A,15
108,2018,A,272
108,2019,A,1079
108,2018,A,4540
108,2018,A,167
107,2016,A,51
107,2020,A,414
107,2019,A,650
107,2016,A,456
106,2019,A,165
106,2017,A,303
106,2019,A,33
106,2018,A,402
106,2018,Motorway,27
105,2018,A,127
105,2017,A,631
105,2017,A,26
105,2019,A,452
104,2017,A,630
104,2017,A,66
104,2016,A,610
104,2017,A,200
104,2018,A,487
104,2016,A,7
104,2018,A,222
103,2019,Motorway,2
103,2017,A,635
103,2018,A,303
103,2020,Motorway,3
103,2017,A,402
102,2020,A,50
102,2017,A,3212
102,2018,A,650
102,2017,A,4540
102,2019,A,4540
102,2017,A,16
102,2017,A,33
102,2020,A,60
102,2019,A,421
101,2019,A,36
101,2016,A,426
101,2017,A,229
101,2018,B,4114
101,2019,A,3036
101,2016,A,3212
101,2017,A,44
101,2018,A,25
100,2016,A,635
100,2016,A,338
100,2016,A,444
100,2018,A,212
100,2018,Motorway,2
100,2018,A,33
100,2019,A,18
99,2017,A,18
99,2016,A,595
99,2017,A,338
99,2016,A,32
98,2017,A,64
98,2018,A,595
98,2018,A,65
98,2016,A,631
98,2017,B,4114
98,2018,A,165
98,2019,A,630
97,2020,A,400
97,2018,A,90
97,2020,A,329
97,2018,A,1000
96,2017,A,123
96,2016,A,458
96,2016,A,565
96,2017,A,127
96,2016,A,123
96,2019,A,222
96,2017,A,77
96,2018,A,635
96,2019,A,127
95,2016,A,200
95,2018,A,26
95,2020,Motorway,62
95,2018,A,44
95,2020,A,638
95,2016,A,226
95,2018,A,229
95,2019,A,123
95,2019,B,4114
94,2016,A,264
94,2018,A,68
94,2019,A,666
94,2019,A,134
94,2016,A,666
94,2016,A,149
94,2017,A,270
93,2017,A,36
93,2016,A,270
93,2016,A,320
93,2017,A,140
93,2016,A,120
92,2018,A,338
92,2017,A,3205
92,2016,A,452
92,2019,A,338
91,2018,A,421
91,2018,A,629
91,2019,A,487
91,2017,A,487
91,2020,A,483
91,2016,A,4540
91,2016,A,53
91,2016,A,386
91,2016,A,4088
91,2017,A,452
91,2016,A,235
90,2017,A,4088
90,2019,A,201
90,2017,A,63
90,2020,A,200
90,2016,A,63
90,2019,A,350
90,2018,A,350
90,2017,A,650
90,2016,A,3205
90,2017,A,28
90,2019,A,272
90,2016,A,461
90,2018,A,3205
89,2016,A,325
89,2019,A,635
89,2017,A,120
89,2019,A,64
89,2020,A,449
88,2016,A,102
88,2017,Motorway,42
88,2018,A,452
88,2017,A,580
88,2018,Motorway,60
88,2017,A,193
88,2019,A,379
88,2019,A,44
88,2018,A,71
88,2019,A,65
88,2016,Motorway,42
88,2018,A,134
87,2016,A,71
87,2017,A,502
87,2020,A,16
87,2020,A,31
87,2019,A,90
87,2019,A,43
87,2018,A,379
86,2018,A,4088
86,2019,A,140
86,2020,A,402
86,2018,A,102
86,2019,A,82
86,2018,A,140
86,2018,A,36
86,2018,A,64
85,2016,A,92
85,2020,A,123
85,2017,A,458
85,2019,A,456
85,2016,A,37
85,2017,A,595
85,2018,A,370
85,2017,A,109
85,2020,A,229
84,2020,Motorway,20
84,2016,A,390
84,2018,A,456
84,2020,A,22
84,2016,A,207
84,2020,A,428
84,2016,A,614
84,2017,A,350
84,2018,A,630
83,2018,A,386
83,2016,A,422
83,2017,B,455
83,2016,A,283
83,2019,A,671
83,2017,A,207
83,2019,A,610
83,2016,B,455
83,2017,A,610
83,2019,A,458
83,2017,Motorway,2
82,2017,A,666
82,2017,A,272
82,2016,A,6177
82,2017,A,665
82,2020,A,8
82,2019,A,441
82,2020,A,44
82,2018,A,504
82,2018,A,422
82,2017,A,435
82,2019,A,102
82,2020,A,272
82,2016,A,435
82,2018,A,671
82,2019,A,66
82,2016,A,322
81,2018,A,120
81,2017,A,4123
81,2020,A,303
81,2017,A,325
81,2018,A,63
81,2020,A,165
81,2019,A,3212
81,2018,A,610
80,2019,A,110
80,2019,A,386
80,2017,A,386
80,2016,A,429
80,2016,A,4127
80,2017,A,390
80,2018,A,207
80,2016,A,316
80,2017,A,264
80,2016,A,189
79,2018,A,7
79,2018,A,18
79,2016,A,193
79,2020,Motorway,40
79,2016,A,68
79,2016,A,186
79,2017,A,134
79,2017,A,671
79,2017,A,51
79,2018,A,264
79,2018,A,458
79,2019,A,270
79,2016,A,580
79,2016,A,453
79,2019,Motorway,56
78,2020,Motorway,11
78,2016,A,110
78,2017,A,456
78,2017,A,7
78,2020,A,504
78,2017,A,102
78,2017,A,244
78,2018,A,390
78,2017,Motorway,23
78,2017,A,647
78,2019,A,565
78,2016,A,5201
77,2018,A,3212
77,2016,A,89
77,2016,A,379
77,2017,A,53
77,2018,A,307
77,2016,Motorway,65
77,2019,A,444
77,2020,A,127
77,2020,A,487
76,2019,A,504
76,2016,A,109
76,2020,A,120
76,2016,A,647
76,2019,A,320
76,2018,A,631
76,2016,A,1306
76,2016,A,6135
76,2016,A,583
76,2017,A,17
76,2019,A,63
76,2017,A,379
76,2019,A,580
76,2020,A,167
76,2017,A,422
76,2016,Motorway,60
76,2016,A,6102
75,2019,A,7
75,2016,A,628
75,2020,A,25
75,2018,A,580
75,2017,A,71
75,2019,A,3205
75,2018,Motorway,65
75,2016,A,171
75,2017,A,664
75,2020,A,26
75,2018,A,110
74,2019,A,37
74,2016,A,611
74,2017,A,240
74,2018,B,455
74,2016,A,417
74,2018,A,666
74,2017,A,186
74,2018,A,51
74,2020,A,1000
74,2019,A,235
74,2016,Motorway,2
74,2020,A,629
74,2018,A,583
74,2018,A,17
74,2019,A,307
73,2018,A,55
73,2016,Motorway,56
73,2019,A,17
73,2018,A,43
73,2016,A,358
73,2017,A,1202
73,2017,A,110
73,2017,A,444
73,2019,A,422
73,2017,A,614
73,2016,Motorway,23
73,2020,A,201
73,2020,B,1
73,2017,A,249
73,2020,A,470
72,2017,A,1112
72,2018,A,444
72,2016,A,454
72,2018,A,689
72,2017,A,407
72,2017,A,682
72,2018,A,665
72,2020,A,386
72,2016,A,228
72,2020,A,244
72,2016,A,43
72,2020,A,379
72,2019,A,120
72,2018,A,502
72,2020,A,580
72,2020,A,3205
72,2017,A,3211
72,2018,A,461
72,2019,A,465
72,2019,A,461
71,2018,Motorway,42
71,2018,A,4123
71,2017,A,32
71,2017,A,358
71,2016,A,660
71,2019,A,1055
71,2019,A,302
71,2016,A,460
71,2017,A,307
71,2019,A,4123
71,2016,A,249
71,2019,A,614
71,2018,A,37
71,2019,B,455
71,2019,A,370
71,2020,A,270
71,2017,A,171
70,2017,A,89
70,2016,A,502
70,2019,A,502
70,2017,A,412
70,2019,A,595
70,2016,A,117
70,2018,Motorway,56
70,2016,A,563
70,2017,Motorway,56
70,2016,A,3057
70,2018,A,627
70,2017,A,320
70,2016,A,814
70,2017,A,461
70,2018,A,465
70,2017,A,607
70,2016,A,370
69,2018,A,228
69,2018,A,109
69,2018,Motorway,23
69,2020,A,1055
69,2018,A,614
69,2017,A,2043
69,2017,A,689
69,2020,A,63
69,2018,A,235
69,2016,A,302
69,2018,A,77
69,2017,A,441
69,2019,A,631
69,2018,A,2043
69,2019,Motorway,27
69,2016,B,2066
69,2019,A,207
68,2020,A,64
68,2017,A,426
68,2017,A,370
68,2016,A,69
68,2020,A,134
68,2017,A,149
68,2020,A,109
68,2019,A,109
68,2019,A,4000
68,2016,A,500
68,2019,A,32
68,2016,A,1036
68,2020,A,3212
68,2018,A,6008
68,2019,A,1201
68,2016,A,3102
68,2019,A,316
68,2019,A,149
68,2019,A,71
68,2019,A,249
68,2019,A,92
68,2020,A,421
68,2017,A,6102
68,2020,A,4088
68,2016,A,511
68,2016,A,442
68,2018,A,509
67,2018,A,302
67,2017,A,1036
67,2019,A,432
67,2017,A,322
67,2017,A,68
67,2020,A,33
67,2019,A,193
67,2019,A,117
67,2017,A,283
67,2020,A,461
67,2018,A,270
67,2019,A,244
67,2017,A,565
67,2019,A,2043
67,2017,A,6177
67,2019,A,189
67,2016,A,3049
67,2016,A,256
67,2019,A,186
67,2020,A,102
67,2018,A,149
66,2016,A,17
66,2020,Motorway,27
66,2020,A,666
66,2019,A,1134
66,2017,A,282
66,2019,A,435
66,2018,A,413
66,2017,A,660
66,2016,A,407
66,2016,A,671
66,2018,A,607
66,2016,A,617
66,2020,A,62
65,2019,A,560
65,2019,A,236
65,2016,A,339
65,2017,A,302
65,2019,Motorway,65
65,2016,A,5127
65,2017,A,2030
65,2016,A,4201
65,2016,A,803
65,2020,A,4540
65,2019,A,4201
65,2017,A,583
65,2016,A,412
65,2020,A,235
65,2017,A,4006
65,2018,A,320
64,2016,A,3211
64,2017,A,55
64,2019,A,2217
64,2016,A,282
64,2019,A,457
64,2017,A,5127
64,2018,A,407
64,2019,A,417
64,2016,A,2217
64,2020,A,635
64,2018,A,100
64,2018,A,4127
64,2020,A,110
64,2020,A,338
64,2018,A,682
64,2017,A,6010
64,2017,A,2047
64,2018,A,609
64,2016,A,584
64,2017,A,4127
64,2016,A,689
64,2018,A,143
64,2016,A,1105
64,2020,A,140
63,2016,A,6005
63,2020,A,18
63,2016,A,419
63,2020,A,82
63,2020,A,630
63,2017,A,235
63,2018,A,417
63,2020,A,17
63,2020,A,207
63,2016,A,525
63,2016,A,281
63,2016,A,441
63,2020,B,455
63,2016,A,761
63,2017,A,4201
63,2018,A,628
63,2017,A,690
62,2017,A,429
62,2018,A,322
62,2020,A,456
62,2018,A,281
62,2016,A,307
62,2016,A,245
62,2019,A,682
62,2020,A,65
62,2019,A,429
62,2017,A,432
62,2017,A,460
62,2017,A,1055
62,2019,A,5201
62,2016,A,548
62,2018,A,89
62,2020,A,444
62,2017,A,5201
62,2019,A,4088
62,2018,A,565
62,2018,A,32
62,2019,A,133
62,2019,B,2066
62,2018,A,158
62,2018,A,590
62,2020,A,1079
62,2016,A,323
61,2017,A,417
61,2018,A,4174
61,2016,A,310
61,2018,A,611
61,2016,A,457
61,2020,A,452
61,2016,A,158
61,2019,A,325
61,2020,A,32
61,2019,A,77
61,2017,A,457
61,2016,A,3216
61,2019,A,647
61,2016,A,1055
61,2019,A,401
61,2018,A,435
61,2017,A,237
61,2018,A,240
61,2017,Motorway,65
61,2016,A,4119
61,2017,A,533
61,2016,A,401
60,2016,A,96
60,2018,A,594
60,2020,A,441
60,2019,A,4006
60,2018,A,1202
60,2018,A,6005
60,2016,A,1202
60,2019,A,4127
60,2019,A,1202
60,2018,A,6102
60,2019,A,3211
60,2016,A,1101
60,2017,A,814
60,2017,A,442
60,2019,A,6005
60,2018,A,2217
60,2020,A,650
60,2017,A,6135
60,2018,A,316
60,2020,B,4114
60,2016,A,2047
60,2016,A,465
60,2018,A,1112
60,2019,A,453
59,2018,A,432
59,2018,A,441
59,2017,A,453
59,2016,A,562
59,2017,A,103
59,2016,A,4123
59,2018,A,244
59,2017,A,627
59,2018,A,6177
59,2018,A,236
59,2020,A,9
59,2017,A,316
59,2020,A,370
59,2019,A,413
59,2017,A,803
59,2020,A,228
59,2017,A,224
59,2016,A,4067
59,2019,A,264
59,2020,A,117
59,2018,A,1306
59,2017,A,401
59,2017,A,419
59,2019,A,665
59,2019,A,226
59,2020,A,350
59,2017,A,43
59,2018,A,358
59,2019,Motorway,23
58,2018,A,53
58,2020,Motorway,2
58,2019,A,664
58,2017,A,560
58,2018,Motorway,61
58,2018,A,3211
58,2018,A,189
58,2018,A,598
58,2017,A,92
58,2016,A,2022
58,2016,A,4090
58,2016,A,4006
58,2018,B,4113
58,2016,A,609
58,2017,A,54
58,2020,A,66
58,2016,A,690
58,2017,A,616
58,2016,A,413
58,2018,A,1205
58,2018,A,5201
58,2016,A,508
58,2016,A,225
58,2018,A,508
57,2017,B,450
57,2016,A,642
57,2020,A,614
57,2018,B,2066
57,2017,A,286
57,2020,A,236
57,2017,A,6005
57,2016,A,4500
57,2019,A,1203
57,2018,A,354
57,2016,A,726
57,2018,A,69
57,2017,A,611
57,2016,A,5199
57,2016,A,299
56,2019,B,4113
56,2019,A,354
56,2019,A,374
56,2016,A,682
56,2019,A,68
56,2019,A,2030
56,2018,A,647
56,2020,Motorway,60
56,2020,A,3216
56,2017,A,2217
56,2017,A,228
56,2016,A,605
56,2016,A,616
56,2016,A,590
56,2018,A,563
56,2016,A,288
56,2018,A,6010
56,2016,A,213
56,2016,A,594
56,2017,A,158
56,2019,A,4200
56,2017,A,236
56,2019,A,6177
55,2019,A,390
55,2016,Motorway,74
55,2020,A,226
55,2019,A,1105
55,2020,A,325
55,2017,A,1206
55,2016,A,133
55,2019,A,628
55,2020,A,36
55,2019,A,69
55,2019,A,4174
55,2020,A,1112
55,2017,A,454
55,2020,A,607
55,2017,A,238
55,2020,A,43
55,2018,A,3102
55,2020,A,4123
55,2018,A,4018
55,2020,A,264
55,2018,A,3057
55,2020,A,149
55,2016,A,484
55,2016,B,480
55,2016,A,4140
55,2017,A,310
55,2016,B,4113
55,2016,A,653
55,2018,A,429
55,2017,A,143
55,2019,A,3216
55,2018,A,325
55,2018,A,92
55,2017,A,133
55,2020,A,631
55,2018,A,4500
55,2017,B,4113
55,2017,A,29
55,2018,A,457
55,2016,A,411
55,2017,B,6265
55,2018,A,6135
55,2018,A,1055
55,2016,A,658
55,2018,A,1201
55,2016,A,720
55,2018,A,5200
55,2017,A,3057
55,2020,A,1206
54,2017,A,3217
54,2017,A,500
54,2020,A,610
54,2018,A,186
54,2019,A,283
54,2019,A,562
54,2018,A,193
54,2016,A,286
54,2016,A,2030
54,2018,A,426
54,2016,A,4000
54,2016,A,354
54,2017,A,189
54,2018,A,1203
54,2017,A,609
54,2020,A,426
54,2018,B,4100
54,2019,A,4500
54,2020,A,671
54,2020,A,320
54,2016,A,236
54,2016,A,143
54,2019,A,1307
54,2016,A,180
54,2019,A,590
54,2020,Motorway,8
54,2016,A,227
54,2019,A,1206
54,2018,A,117
54,2019,A,100
54,2018,A,4200
53,2019,A,611
53,2016,A,240
53,2017,A,5200
53,2016,A,2043
53,2018,A,664
53,2019,A,607
53,2016,A,408
53,2016,A,5111
53,2019,A,1156
53,2017,A,598
53,2020,A,92
53,2019,A,213
53,2016,A,606
53,2017,A,4202
53,2017,A,70
53,2018,A,453
53,2019,B,4100
53,2018,A,4000
53,2017,A,1134
53,2016,A,238
53,2017,A,37
53,2016,A,183
53,2020,A,514
53,2018,A,454
53,2016,A,695
53,2018,A,306
53,2020,A,665
53,2016,A,737
53,2016,A,170
53,2020,A,37
52,2016,A,1307
52,2017,A,4200
52,2020,A,435
52,2018,A,249
52,2017,A,408
52,2017,A,281
52,2020,A,457
52,2018,A,203
52,2019,A,55
52,2016,A,702
52,2018,A,133
52,2016,A,1112
52,2018,A,5111
52,2019,A,814
52,2018,A,2030
52,2019,A,228
52,2020,A,458
52,2016,A,4146
52,2020,A,1134
52,2016,A,1203
52,2016,A,5058
52,2020,A,5127
52,2020,A,322
52,2019,A,690
52,2016,A,3005
52,2018,A,180
52,2019,A,411
52,2016,A,509
52,2020,A,374
52,2019,A,148
52,2018,A,419
52,2016,A,113
52,2018,A,562
52,2020,A,29
52,2018,A,283
52,2016,A,4018
52,2018,A,484
51,2017,A,96
51,2016,A,55
51,2020,B,2066
51,2020,A,647
51,2017,A,465
51,2020,A,2217
51,2017,B,108
51,2019,A,1112
51,2017,A,6008
51,2017,B,4100
51,2019,A,1033
51,2016,A,1201
51,2017,A,114
51,2016,A,644
51,2018,A,76
51,2020,A,307
51,2018,A,5127
51,2018,A,96
51,2016,Motorway,61
51,2019,A,617
51,2016,A,130
51,2018,A,286
51,2016,A,633
50,2016,A,151
50,2017,A,577
50,2020,A,6102
50,2019,A,53
50,2020,A,508
50,2016,A,237
50,2019,A,2022
50,2018,A,171
50,2018,A,70
50,2016,A,4174
50,2020,A,595
50,2018,Motorway,18
50,2018,A,310
50,2016,A,1081
50,2018,A,1105
50,2018,A,29
50,2018,B,6265
50,2019,A,286
50,2019,A,5183
50,2017,A,213
50,2020,A,1201
50,2016,A,432
50,2016,B,5178
50,2019,A,6008
50,2016,A,4202
50,2016,A,6008
50,2019,A,419
50,2018,A,54
50,2017,A,702
50,2019,A,570
50,2017,A,354
50,2016,A,570
50,2019,A,407
50,2020,A,429
50,2017,A,2022
50,2020,A,6177
50,2020,A,4000
50,2016,A,388
50,2016,A,224
50,2016,A,306
50,2017,A,563
50,2020,A,2030
50,2017,A,590
50,2019,A,577
50,2017,A,117
49,2020,A,2047
49,2019,A,89
49,2017,A,183
49,2018,A,401
49,2018,A,3216
49,2020,A,354
49,2020,A,407
49,2016,A,3218
49,2017,A,548
49,2017,A,1306
49,2019,A,6102
49,2018,A,525
49,2016,A,534
49,2018,A,616
49,2016,A,598
49,2018,A,4006
49,2020,A,213
49,2017,A,6120
49,2019,A,1306
49,2019,A,339
49,2017,A,339
49,2017,A,562
49,2019,A,2047
49,2020,A,2022
49,2018,A,151
49,2020,A,1306
49,2019,A,6135
49,2019,A,689
49,2019,A,563
49,2019,A,508
49,2018,A,548
49,2020,A,1033
48,2020,A,563
48,2019,Motorway,61
48,2017,A,335
48,2018,A,213
48,2017,Motorway,74
48,2020,A,682
48,2019,A,509
48,2016,A,6120
48,2017,A,4146
48,2017,A,243
48,2019,A,616
48,2016,A,1206
48,2017,A,6514
48,2018,A,238
48,2016,Motorway,18
48,2019,A,454
48,2017,A,683
48,2016,A,627
48,2019,A,3057
48,2019,A,548
48,2017,A,180
48,2019,A,3049
48,2019,A,511
48,2020,A,6135
48,2019,A,6010
48,2016,A,305
48,2018,A,459
48,2016,A,469
48,2018,A,500
48,2017,A,4161
48,2016,A,6514
48,2019,Motorway,74
48,2018,A,579
