number_of_accidents,totalVehicles,totalCasualties,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards
115,227,150,Daylight,Fine no high winds,Dry,Auto signal part defective,None
113,217,143,Darkness - lights lit,Fog or mist,Dry,None,None
111,184,144,Darkness - no lighting,Other,Dry,None,None
110,141,131,Darkness - no lighting,Raining no high winds,Wet or damp,None,Any animal in carriageway (except ridden horse)
104,167,157,Darkness - no lighting,Fog or mist,Dry,None,None
102,160,137,Darkness - no lighting,Raining no high winds,Wet or damp,None,Other object on road
101,156,125,Daylight,Fine no high winds,Wet or damp,None,Any animal in carriageway (except ridden horse)
100,127,135,Darkness - no lighting,Raining no high winds,Wet or damp,Mud,None
100,198,128,Daylight,Raining no high winds,Wet or damp,Auto traffic signal - out,None
98,145,118,Daylight,Fine no high winds,Wet or damp,Road surface defective,None
91,158,134,Daylight,Raining no high winds,Frost or ice,None,None
90,163,110,Darkness - lights lit,Snowing no high winds,Frost or ice,None,None
90,147,114,Darkness - lights unlit,Raining + high winds,Wet or damp,None,None
88,130,124,Daylight,Raining no high winds,Wet or damp,Road surface defective,None
87,151,115,Darkness - lights lit,Snowing + high winds,Snow,None,None
84,107,105,Darkness - no lighting,Fog or mist,Frost or ice,None,None
83,215,170,Darkness - no lighting,Fine no high winds,Dry,None,Previous accident
79,172,128,Darkness - no lighting,Raining no high winds,Wet or damp,Roadworks,None
79,135,100,Darkness - lighting unknown,Fine no high winds,Frost or ice,None,None
79,153,117,Daylight,Fine no high winds,Wet or damp,Auto traffic signal - out,None
78,137,123,Darkness - no lighting,Fine no high winds,Wet or damp,None,Other object on road
77,123,103,Darkness - no lighting,Snowing no high winds,Frost or ice,None,None
77,136,109,Darkness - lights unlit,Other,Wet or damp,None,None
77,183,120,Darkness - lights lit,Fine no high winds,Dry,None,Previous accident
75,144,105,Daylight,Raining no high winds,Wet or damp,None,Vehicle load on road
74,123,92,Darkness - lights lit,Fog or mist,Frost or ice,None,None
73,134,103,Daylight,Snowing + high winds,Wet or damp,None,None
73,152,110,Darkness - no lighting,Fine no high winds,Wet or damp,Roadworks,None
72,104,97,Daylight,Raining no high winds,Wet or damp,None,Any animal in carriageway (except ridden horse)
72,117,109,Darkness - no lighting,Snowing + high winds,Snow,None,None
68,130,103,Darkness - lights lit,Fine no high winds,Dry,Road sign or marking defective or obscured,None
68,105,92,Daylight,Raining + high winds,Flood over 3cm. deep,None,None
67,122,79,Darkness - lighting unknown,Fine + high winds,Dry,None,None
66,114,77,Darkness - lights lit,Raining no high winds,Frost or ice,None,None
66,128,82,Daylight,Fine no high winds,Wet or damp,None,Vehicle load on road
65,117,78,Darkness - lights lit,Fine no high winds,Dry,Roadworks,Other object on road
65,81,91,Darkness - no lighting,Raining + high winds,Flood over 3cm. deep,None,None
61,128,90,Daylight,Raining no high winds,Wet or damp,Road sign or marking defective or obscured,None
61,121,78,Darkness - lighting unknown,Fine no high winds,Dry,Roadworks,None
61,106,84,Darkness - lights lit,Raining no high winds,Wet or damp,Auto traffic signal - out,None
61,102,88,Daylight,Snowing + high winds,Frost or ice,None,None
60,76,68,Daylight,Fine no high winds,Dry,Road surface defective,Other object on road
58,80,74,Darkness - lights lit,Raining no high winds,Wet or damp,None,Pedestrian in carriageway not injured
58,115,99,Darkness - lights lit,Raining no high winds,Wet or damp,Road sign or marking defective or obscured,None
58,85,75,Daylight,Raining + high winds,Wet or damp,None,Other object on road
58,144,88,Daylight,Raining no high winds,Wet or damp,None,Previous accident
58,88,79,Daylight,Fine no high winds,Wet or damp,None,Pedestrian in carriageway not injured
56,94,80,Daylight,Fine no high winds,Flood over 3cm. deep,None,None
55,81,91,Darkness - no lighting,Snowing no high winds,Wet or damp,None,None
55,94,67,Darkness - lighting unknown,Fog or mist,Wet or damp,None,None
54,107,71,Darkness - lights lit,Fine no high winds,Wet or damp,Auto traffic signal - out,None
54,73,76,Darkness - no lighting,Fine no high winds,Dry,Mud,None
54,96,72,Darkness - lights lit,Raining no high winds,Wet or damp,None,Vehicle load on road
53,82,68,Daylight,Raining no high winds,Wet or damp,None,Pedestrian in carriageway not injured
52,79,75,Darkness - no lighting,Raining no high winds,Frost or ice,None,None
50,78,61,Daylight,Other,Snow,None,None
49,65,62,Daylight,Fine + high winds,Dry,None,Other object on road
49,133,90,Daylight,Fine no high winds,Wet or damp,None,Previous accident
48,68,64,Darkness - no lighting,Raining + high winds,Wet or damp,None,Other object on road
48,65,54,Darkness - lights lit,Fine no high winds,Wet or damp,None,Pedestrian in carriageway not injured
43,64,56,Darkness - lights lit,Raining no high winds,Wet or damp,Oil or diesel,None
43,67,54,Darkness - lights lit,Fine no high winds,Dry,Road surface defective,None
42,68,54,Daylight,Other,Wet or damp,None,Other object on road
42,73,54,Daylight,Raining no high winds,Snow,None,None
41,64,50,Darkness - lights unlit,Fine no high winds,Frost or ice,None,None
41,79,55,Darkness - lights lit,Fine no high winds,Wet or damp,None,Vehicle load on road
